numero_de_proyecto,clave_del_proyecto,fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,pagado
14,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA POTABLE Y RED DE ALCANTARILLADO, CALLE JACINTO DE CASTRO, EN EL MUNICIPIO DE SAN JOSÉ DE GRACIA, EN EL ESTADO DE AGUASCALIENTES",2237017,0
15,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA Y RED DE ALCANTARILLADO, CALLE NICOLÁS DE LOS REYES, CABECERA MUNICIPAL, EN EL MUNICIPIO DE SAN JOSÉ DE GRACIA, EN EL ESTADO DE AGUASCALIENTES",2137645,845652.36
16,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA Y RED DE ALCANTARILLADO, CALLE RAFAEL GONZÁLEZ GUERRA, SAN JOSÉ DE GRACIA, AGUASCALIENTES.",4038615,1597676.1
17,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,9999,COBERTURA ESTATAL,INFRAESTRUCTURA VIAL EN EL ESTADO DE AGUASCALIENTES,250000000,0
18,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,1,ENSENADA,"INFRAESTRUCTURA DEPORTIVA EN EL MUNICIPIO DE ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA",8194000,0
19,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,1,ENSENADA,"INFRAESTRUCTURA GUBERNAMENTAL EN EL MUNICIPIO DE ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA",1936000,0
20,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,1,ENSENADA,"INFRAESTRUCTURA SOCIAL EN EL MUNICIPIO DE ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA / (CONSTRUCCIÓN DE SUBESTACIÓN DE BOMBEROS EN NUEVA ERA, SAN QUINTÍN B.C.)",3500000,1384600
21,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,1,ENSENADA,"INFRAESTRUCTURA SOCIAL EN EL MUNICIPIO DE ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA",6000000,0
22,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,1,ENSENADA,"PAVIMENTACIÓN DE AVENIDA NÉSTOR OLIVAS ENTRE CALLES PRIMERA Y SEGUNDA, COLONIA EX EJIDO CHAPULTEPEC, ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA",2000000,791200
23,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,2,MEXICALI,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN MEXICALI, BAJA CALIFORNIA",50000000,0
24,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,3,TECATE,"INFRAESTRUCTURA DEPORTIVA EN EL MUNICIPIO DE TECATE, EN EL ESTADO DE BAJA CALIFORNIA",2200000,0
25,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,3,TECATE,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TECATE, EN EL ESTADO DE BAJA CALIFORNIA",2500000,0
26,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"INFRAESTRUCTURA DEPORTIVA EN EL MUNICIPIO DE TIJUANA, EN EL ESTADO DE BAJA CALIFORNIA",10000000,0
27,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TIJUANA, EN EL ESTADO DE BAJA CALIFORNIA",55670000,0
28,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"MEJORAMIENTO NODO EL REFUGIO INSURGENTES, EN EL MUNICIPIO DE TIJUANA, EN EL ESTADO DE BAJA CALIFORNIA",5000000,0
29,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"PROYECTOS DE INFRAESTRUCTURA EN TIJUANA, BAJA CALIFORNIA",10000000,0
30,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,PROYECTOS DE INFRAESTRUCTURA ESTATAL EN BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN LA COLONIA JARDÍN DORADO),610053,241336.97
31,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,4,TIJUANA,"REHABILITACIÓN DE UNIDAD DEPORTIVA SALVATIERRA EN TIJUANA, EN EL ESTADO DE BAJA CALIFORNIA",8000000,0
32,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN COLONIA TERRAZAS DEL PACIFICO Y VISTA HERMOSA)",4188585.81,1657004.54
33,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN LA COLONIA AMPLIACIÓN CONSTITUCIÓN)",4374234.65,1730447.23
34,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN LA COLONIA AZTLÁN )",2210956.79,874654.51
35,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN LA COLONIA CROSTHWAITE)",443292.84,175366.65
36,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (PAVIMENTACIÓN INTEGRAL CON CONCRETO HIDRÁULICO EN LAS COLONIAS LOMAS DE ROSARITO Y LOMAS DE MONTECARLO)",3280729.27,1297856.5
37,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA",20771974.5,0
38,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (REHABILITACIÓN DE VIALIDADES EN LA COLONIA AMPLIACIÓN LUCIO BLANCO)",4429844.11,1752446.33
39,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (REHABILITACIÓN DE VIALIDADES EN LA COLONIA BENITO JUÁREZ)",3201882.87,1266664.86
40,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (REHABILITACIÓN DE VIALIDADES EN LA COLONIA MAGISTERIAL)",2292976.31,907101.43
41,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (REHABILITACIÓN DE VIALIDADES EN LA COLONIA MEXICALI)",1350379.35,534210.07
42,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROGRAMA DE REHABILITACIÓN Y MODERNIZACIÓN DE VIALIDADES, EN EL MUNICIPIO DE PLAYAS DE ROSARITO, EN EL ESTADO DE BAJA CALIFORNIA / (REHABILITACIÓN DE VIALIDADES EN LA COLONIA SAN EDUARDO)",18455143.5,7300854.77
43,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN PLAYAS DE ROSARITO, BAJA CALIFORNIA",15300000,0
44,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,9999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA EN EL ESTADO DE BAJA CALIFORNIA,450000000,0
45,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,9999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA ESTATAL EN BAJA CALIFORNIA,59389947,0
46,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,1,COMONDÚ,"CONSTRUCCIÓN Y PAVIMENTACIÓN DE CALLE DE JESÚS GARZA MENCHACA, CD. CONSTITUCIÓN, MUNICIPIO COMONDÚ, BAJA CALIFORNIA SUR",10000000,0
47,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,1,COMONDÚ,"INFRAESTRUCTURA MUNICIPAL EN COMONDÚ, BAJA CALIFORNIA SUR",4100000,0
48,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,2,MULEGÉ,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN MULEGÉ, BAJA CALIFORNIA SUR",3500000,0
49,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,3,LA PAZ,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN LA PAZ, BAJA CALIFORNIA SUR",14900000,0
50,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,8,LOS CABOS,"NODO VIAL CINCO ALTOS, COL. LOMAS DEL FARO, CABO SAN LUCAS, EN EL MUNICIPIO DE LOS CABOS, BAJA CALIFORNIA SUR",10000000,0
51,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,8,LOS CABOS,"PROYECTOS DE DESARROLLO MUNICIPAL EN LOS CABOS, BAJA CALIFORNIA SUR",14100000,0
52,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,9999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA EN EL ESTADO DE BAJA CALIFORNIA SUR,400000000,0
53,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,1,CALKINÍ,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DE CANCHA DE USOS MULTIPLES DE LA CALLE 20 EN DZITBALCHE, CALKINI)",2999999.59,1186799.84
54,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,1,CALKINÍ,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DEL PARQUE PRINCIPAL DE DZITBALCHE, MUNICIPIO DE CALKINI)",15000000,5934000
55,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,1,CALKINÍ,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO EN LA CALLE 20 (TRAMO: CARRETERA FEDERAL HASTA CALLE 23) DZITBALCHE, CALKINI)",4737884.99,1874307.3
56,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,1,CALKINÍ,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (REHABILITACIÓN DE LA CALLE 20 (AV CALKINI), ENTRE CALLE SIN NOMBRE Y CALLE 33 (F.F.C.C.), EN LA CIUDAD DE CALKINI, MUNICIPIO DE CALKINI)",3081168.89,1218910.41
57,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,1,CALKINÍ,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (REHABILITACIÓN DE LA CANCHA DE USOS MÚLTIPLES EN LA LOCALIDAD CONCEPCIÓN, BARRIO CONCEPCIÓN, DEL MUNICIPIO DE CALKINÍ)",2980406.92,1179048.98
58,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (LA CARRETERA FEDERAL 180, DENOMINADA ADOLFO RUIZ CORTINES Y AV. JUSTO SIERRA MÉNDEZ, EN LA CIUDAD DE SAN FRANCISCO DE CAMPECHE)",12762279.97,5048757.95
59,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (REENCARPETAMIENTO  DE LA AV. PEDRO SAINZ DE BARANDA ENTRE LA AV. RUIZ CORTINEZ Y CALLE FUNDADORES, EN LA CD. DE SAN FRANCISCO DE CAMPECHE)",8350499.7,3303457.68
60,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (REENCARPETAMIENTO DE LA AV. PEDRO SAINZ DE BARANDA ENTRE LAS CALLES  DÁRSENA Y FUNDADORES, MUNICIPIO DE CAMPECHE, CAMPECHE)",4311874.43,1705777.52
61,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"LABORATORIO DE INVESTIGACIÓN , DESARROLLO E INNOVACIÓN DE LA FACULTAD DE INGENIERÍA DE LA UAC, EN EL MUNICIPIO DE CAMPECHE, EN EL ESTADO DE CAMPECHE",68520000,27106512
62,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DE CANCHA DE USOS MÚLTIPLES EN ATASTA, CD. DEL CARMEN)",2999999.73,1186799.89
63,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DE LA CANCHA DE ISLA AGUADA, MUNICIPIO DE CARMEN)",3232344.96,1278715.67
64,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO DE LA CALLE 5 DE MAYO-CALLE VILLA 5 DE MAYO-CALLE FRANCISCO LÓPEZ JUÁREZ DE ISLA AGUADA (TRAMO: CALLE MARINA HASTA CALLE BENITO JUÁREZ)),4737886.32,1874307.83
65,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO DE LA CALLE MARINA (TRAMO: CALLE EMILIANO ZAPATA HASTA CALLE PRIETO), ISLA AGUADA, CARMEN.)",3553411.63,1405729.64
66,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO EN LA CALLE CAMPECHE DEL TRAMO; CARRETERA CHAMPOTÓN CDAD. DEL CARMEN HASTA CALLE MARINA, LOCALIDAD DE ISLA AGUADA, MUNICIPIO DE CARMEN)",2605836.56,1030868.94
67,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (REHABILITACION DE LA CALLE 20 Y MEJORAMIENTO DEL MALECON(TRAMO:CALLE 20 ENTRE CALLE 37 Y CALLE 25), DE CIUDAD DEL CARMEN, CAMPECHE)",16560925.55,6551502.15
68,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN CARMEN, CAMPECHE / (PAVIMENTACION CON CARPETA ASFALTICA EN DIVERSAS CALLES DE LA COLONIA RENOVACION II )",2469006.14,976738.83
69,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN CARMEN, CAMPECHE / (PAVIMENTACION CON CONCRETO HIDRAULICO EN DIVERSAS CALLES DE LA COLONIA 23 DE JULIO )",5343421.64,2113857.6
70,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN CARMEN, CAMPECHE / (PAVIMENTACION CON CONCRETO HIDRAULICO EN DIVERSAS CALLES DE LA COLONIA TIERRA Y LIBERTAD )",5175718.94,2047514.41
71,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN CARMEN, CAMPECHE",11853.28,0
72,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,4,CHAMPOTÓN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DE CANCHA DE USO MÚLTIPLES EN EL BARRIO LA PLACITA EN SEYBAPLAYA, MUNICIPIO DE CHAMPOTÓN)",2721788.61,1076739.57
73,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,4,CHAMPOTÓN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DE LA AVENIDA REVOLUCION ENTRE CARRETERA COSTERA DEL GOLFO Y CALLE 32, MUNICIPIO DE CHAMPOTON, CAMPECHE)",11571115.11,4577533.14
74,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,4,CHAMPOTÓN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MEJORAMIENTO DEL PARQUE PRINCIPAL DE SEYBAPLAYA, CHAMPOTÓN)",12000000,4747200
75,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,5,HECELCHAKÁN,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO EN LA AVENIDA JUAN PACHECO TORRES EN LA LOCALIDAD DE HECELCHAKÁN (TRAMO CARRETERA CAMPECHE-MÉRIDA A CALLE 31), MUNICIPIO DE  HECELCHAKÁN)",2072825.26,820009.67
76,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,7,PALIZADA,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (CONSERVACIÓN Y MANTENIMIENTO DE LA AEROPISTA DE LA LOCALIDAD DE PALIZADA, MUNICIPIO DE PALIZADA)",6227920.41,2463765.31
77,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,8,TENABO,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO EN LA AV. PRINCIPAL (CALLE 10) TRAMO: CARRET. FEDERAL CAMPECHE-MÉRIDA A CALLE 23 DEL MUNICIPIO DE TENABO, CAMPECHE)",1776707.38,702865.44
78,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,8,TENABO,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO EN LA CALLE 10, TENABO)",1516952.48,600106.4
79,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,8,TENABO,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (RECONSTRUCCIÓN DE LA CALLE 10, ENTRE LIBRAMIENTO CARRETERO CAMPECHE- MÉRIDA Y CALLE 1 EN LA  LOCALIDAD DE TENABO, MUNICIPIO DE TENABO)",6212751.89,2457764.65
80,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,9,ESCÁRCEGA,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / ( RECONSTRUCCION DE LA AEROPISTA DE ESCARCEGA, CAMPECHE)",3624097.22,1433692.86
81,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,9,ESCÁRCEGA,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (RECONSTRUCCIÓN DE LA AV. SOLIDARIDAD ENTRE CALLE 30 Y CARRETERA FEDERAL CHETUMAL-VILLAHERMOSA, ESCÁRCEGA)",12102770.72,4787856.1
82,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,10,CALAKMUL,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (RECONSTRUCCION DE AEROPISTA DE XPUJIL, MUNICIPIO DE CALAKMUL, CAMPECHE)",19908848.91,7875940.63
83,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,10,CALAKMUL,"INFRAESTRUCTURA ECONÓMICA EN EL ESTADO DE CAMPECHE / (RECONSTRUCCIÓN DE AV CALAKMUL, EN LA LOCALIDAD DE XPUJIL, CALAKMUL)",10478428.12,4145266.16
