Número_de_proyecto,clave_del_proyecto,fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,pagado
30,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,115,QUECHOLAC,"ADOQUINAMIENTO EN LA CALLE 5 SUR ENTRE CALLES 7 Y 11 PONIENTE EN LA LOCALIDAD DE QUECHOLAC ,   MUNICIPIO DE QUECHOLAC ,   PUEBLA","$2,000,000.00",0
31,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,65,PARACHO,"AGUA POTABLE Y ALCANTARILLADO EN LA CALLE ARROYO SECO ENTRE XICOTÉNCATL Y LUIS SEPÚLVEDA ,   EN PARACHO ,   MICHOACÁN","$2,379,000.00",0
32,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,37,JUÁREZ,"ALUMBRADA PUBLICO DEPORTIVO  "" CENTENARIO DE LA CONSTITUCION "" . COL. 16 DE SEPTIEMBRE  ,   EN EL MUNICIPIO DE JUÁREZ ,   EN EL ESTADO DE CHIHUAHUA","$448,959.00",0
33,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,45,JIQUILPAN,"ALUMBRADO CALLE FCO. SARABIA ,   EN EL MUNICIPIO DE JIQUILPAN ,   EN EL ESTADO DE MICHOACÁN","$900,000.00",0
34,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,10,AJALPAN,ALUMBRADO DE SALÓN DE USOS MULTIPLES EN BARRIO COCULCO EN AJALPAN EN EL ESTADO DE PUEBLA,"$2,000,000.00",0
35,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"AMPLIACIÓN DE AYUDANTÍA MUNICIPAL EN TLALTENANGO ,   CUERNAVACA MORELOS.","$1,000,000.00",0
36,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SAN ELIAS ,   CALLE JOSE MARIA MORELOS ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO","$890,431.00",0
37,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SANTA BARBARA ,   CALLE ALLENDE Y BENITO JUAREZ  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO","$797,569.00",0
38,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACIÓN DE LA LÍNEA ELÉCTRICA ,   EN LA COMUNIDAD DEL PUERQUITO ,   CALLE LUIS DONALDO COLOSIO  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO","$1,390,000.00",0
39,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,15,TACOTALPA,"AMPLIACIÓN DE LA RED DE AGUA POTABLE DEL EJIDO LA CUMBRE EN EL MUNICIPIO DE TACOTALPA ,   TABASCO","$7,951,154.00",0
40,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,25,CHAPULTENANGO,"AMPLIACION DE LA RED DE AGUA POTABLE EN LA CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE CHAPULTENANGO ,   EN EL ESTADO DE CHIAPAS","$4,387,690.00",0
41,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,277,VILLA SOLA DE VEGA,"AMPLIACIÓN DE LA RED DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA EN EL MUNICIPIO DE VILLA SOLA DE VEGA ,   EN EL ESTADO DE OAXACA","$2,091,251.00",0
42,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"AMPLIACION DE RED DE ENERGIA ,  ELECTRICA EN LA LOCALIDAD DE TABILHUCUM ,   EN EL MUNICIPIO DE LARRÁINZAR ,   EN EL ESTADO DE CHIAPAS","$2,376,285.00",0
43,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,50,MARAVATÍO,"AMPLIACIÓN DEL DRENAJE SANITARIO Y RED DE AGUA POTABLE EN LA CALLE PROLONGACIÓN PÍPILA EN LA LOCALIDAD DE MARAVATÍO DE OCAMPO ,   MUNICIPIO DE MARAVATÍO ,   MICHOACÁN","$1,800,000.00",0
44,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,108,VILLAFLORES,"AMPLIACIÓN TRAMO CARRETERO ,   VILLAFLORES-OCOZOCOUTLA EN EL ESTADO DE CHIAPAS","$40,000,000.00",0
45,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"AMPLIACIÓN Y MODERNIZACIÓN DE CARRETERA TINAJUELA-TEPETATILLO ,   ASIENTOS ,   AGUASCALIENTES","$2,500,000.00",0
46,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,97,TLAJOMULCO DE ZÚÑIGA,"AMPLICACIÓN VIAL A LA AVENIDA JESÚS MICHEL (PROLONGACIÓN 8 DE JULIO) ,   EN EL TRAMO CARRETERA A UNIÓN DEL CUATRO - CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA ,   JALISCO.","$19,500,000.00",0
47,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"ANDADOR JACARANDAS NO.1 COLONIA LOMAS DE AHUATLAN ,   CUERNAVACA ,   MORELOS.","$700,000.00",0
48,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,66,PÁTZCUARO,"ANDADOR Y CAMINO DENOMINADO  "" EL ESTRIBO CHICO ""  EN EL MUNICIPIO PÁTZCUARO ,   MICHOACÁN","$5,025,963.00",0
49,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,107,ZACAPU,ARCO EN GLORIETA EN LA CIUDAD DE ZACAPU EN EL ESTADO DE MICHOACÁN,"$500,000.00",0
50,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,95,TOCUMBO,"ARREGLO CANCHA BASQUETBOL ,   EN EL MUNICIPIO DE TOCUMBO ,   EN EL ESTADO DE MICHOACÁN","$250,000.00",0
51,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,29,OCAMPO,"AULA DE APOYO EDUCATIVO USAER DE 6X8 MTS EN ESCUELA PRIMARIA FLORES MAGÓN EN CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE TAMAULIPAS","$545,600.00",0
52,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,29,OCAMPO,"AULA DIDÁCTICA DE TELESECUNDARIA MTRO. LUIS HUMBERTO HINOJOSA OCHOA EN EL EJIDO FRANCISCO MEDRANO ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE TAMAULIPAS","$545,600.00",0
53,U128,PROYECTOS DE DESARROLLO REGIONAL,12,GUERRERO,49,PILCAYA,"BARDA PERIMETRAL  ,   EN EL MUNICIPIO DE PILCAYA ,   EN EL ESTADO DE GUERRERO","$1,000,000.00",0
54,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"BULEVAR MANUEL J. CLUTHIER EN LA COMUNIDAD DE LA TINAJUELA ASIENTOS ,   AGUASCALIENTES","$1,500,000.00",0
55,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,19,COTIJA,"CAM. CIRC. RIVIERA LAGO SAN JUANICO ,   EN EL MUNICIPIO DE COTIJA ,   EN EL ESTADO DE MICHOACÁN","$500,000.00",0
56,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,83,TANCÍTARO,"CAMINO EN EL MUNICIPIO DE TANCÍTARO ,   MICHOACÁN","$5,124,784.00",0
57,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,114,PUEBLA,"CAMINO RURAL E.C. (EL AGUACATE-LOS ÁNGELES TETELA) ,   SAN JOSÉ XAXACMAYO (SEGUNDA ETAPA) ,   EN EL ESTADO DE PUEBLA","$5,000,000.00",0
58,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,"CAMINO RURAL SAN CRISTOBAL- LA CANDELARIA ,   EN EL MUNICIPIO DE SAN CRISTÓBAL DE LAS CASAS ,   EN EL ESTADO DE CHIAPAS","$3,000,000.00",0
59,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CAMINO RURAL VILLA OCAMPO - OJITO REHABILITACIÓN ,   EN EL MUNICIPIO DE OCAMPO ,   DURANGO","$10,000,000.00",0
60,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,139,SALTABARRANCA,CAMINO SALTABARRANCA - ZAMORA CALETÓN EN EL ESTADO DE VERACRUZ,"$19,700,000.00",0
61,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CAMINO SAN GABRIEL - VILLA OCAMPO PAVIMENTO HIDRÁULICO EN EL MUNICIPIO DE OCAMPO ,   DURANGO","$5,000,000.00",0
62,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,78,SANTA ANA MAYA,"CAMINO SAN RAFAEL- EL CUERVO ,   EN EL MUNICIPIO DE SANTA ANA MAYA ,   EN EL ESTADO DE MICHOACÁN","$5,588,000.00",0
63,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,94,TEOPISCA,CAMINO TEOPISCA-SAN ISIDRO CHIJILTE EN EL ESTADO DE CHIAPAS,"$5,000,000.00",0
64,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,6,JOSÉ MARÍA MORELOS,"CANCHA DE FUTBOL EN LA CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE JOSÉ MARÍA MORELOS ,   EN EL ESTADO DE QUINTANA ROO","$2,500,000.00",0
65,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,76,SAHUAYO,"CANCHA DE USOS MULTIPLES B. AGUACATE ,   EN EL MUNICIPIO DE SAHUAYO ,   EN EL ESTADO DE MICHOACÁN","$300,000.00",0
66,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,"CANCHA DE USOS MÚLTIPLES EJIDO EL CARMEN ARCOTETE ,   EN EL MUNICIPIO DE SAN CRISTÓBAL DE LAS CASAS ,   EN EL ESTADO DE CHIAPAS","$1,500,000.00",0
67,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,38,HUIXTÁN,"CANCHA DE USOS MULTIPLES EN BARRIO SAN SEBASTIÁN ,   EN EL MUNICIPIO DE HUIXTÁN ,   EN EL ESTADO DE CHIAPAS","$1,500,000.00",0
68,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,38,HUIXTÁN,"CANCHA DE USOS MULTIPLES EN LA LOCALIDAD ESPUHILÓ ,   EN EL MUNICIPIO DE HUIXTÁN ,   EN EL ESTADO DE CHIAPAS","$1,500,000.00",0
69,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,4,CADEREYTA DE MONTES,"CANCHA DE USOS MULTIPLES SAN MARTIN LA FLORIDA ,   EN EL MUNICIPIO DE CADEREYTA DE MONTES ,   EN EL ESTADO DE QUERÉTARO","$1,500,000.00",0
70,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,2,PINAL DE AMOLES,"CANCHA DE USOS MULTIPLES Y TECHUMBRE SAN PEDRO EL VIEJO ,   EN EL MUNICIPIO DE PINAL DE AMOLES ,   EN EL ESTADO DE QUERÉTARO","$1,900,000.00",0
71,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,195,XOXOCOTLA,CANCHA DEPORTIVA MULTIUSOS TECHADA EN LA LOCALIDAD DE EL PERICÓN DEL MUNICIPIO DE XOXOCOTLA EN EL ESTADO DE VERACRUZ,"$800,000.00",0
72,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,13,ATIZAPÁN DE ZARAGOZA,"CANCHAS DEPORTIVAS Y CONSTRUCCIÓN DE ARCOTECHO ,   EN EL MUNICIPIO DE ATIZAPÁN DE ZARAGOZA ,   EN EL ESTADO DE MÉXICO","$950,000.00",0
73,U128,PROYECTOS DE DESARROLLO REGIONAL,25,SINALOA,16,SAN IGNACIO,"CARRETERA SAN IGNACIO - TAYOLTITA ,   TRAMO SAN JUAN - TAYOLTITA ,   EN SINALOA","$40,000,000.00",0
74,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CARRETERA TORREÓN DE CAÑAS - CARRETERA 45 ,   REHABILITACIÓN CON ASFALTO EN EL MUNICIPIO DE OCAMPO ,   DURANGO","$5,000,000.00",0
75,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,35,LA HUACANA,"CARRTERA CAYACO- HACIENDA VIEJA ,   EN EL MUNICIPIO DE LA HUACANA ,   EN EL ESTADO DE MICHOACÁN","$22,900,000.00",0
76,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,3,TECATE,"CASA DE DESARROLLO COMUNITARIO CLUB DE NIÑOS Y NIÑAS ,   EN EL MUNICIPIO DE TECATE ,   EN EL ESTADO DE BAJA CALIFORNIA","$4,000,000.00",0
77,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,23,CUMPAS,"CASA DE LA CULTURA ,   EN EL MUNICIPIO DE CUMPAS ,   EN EL ESTADO DE SONORA","$5,000,000.00",0
78,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,32,TETLATLAHUCA,"CASA DE LA CULTURA ,   EN EL MUNICIPIO DE TETLATLAHUCA ,   EN EL ESTADO DE TLAXCALA","$2,702,231.00",0
79,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,18,LA BARCA,"CENTRO COMUNITARIO  ,   EN EL MUNICIPIO DE LA BARCA ,   EN EL ESTADO DE JALISCO","$3,000,000.00",0
80,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,47,JAMAY,"CENTRO COMUNITARIO PARA JÓVENES ,   EN EL MUNICIPIO DE JAMAY ,   EN EL ESTADO DE JALISCO","$2,000,000.00",0
81,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,18,TOLIMÁN,"CENTRO DE DESARROLLO COMUNITARIO 1 RA ETAPA ,   EN EL MUNICIPIO DE TOLIMÁN ,   EN EL ESTADO DE QUERÉTARO","$2,667,048.00",0
82,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,4,OTHÓN P. BLANCO,"CENTRO DE SALUD EN FRACCIONAMIENTO CARIBE ,   EN EL MUNICIPIO DE OTHÓN P. BLANCO ,   EN EL ESTADO DE QUINTANA ROO","$6,000,000.00",0
83,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,9999,COBERTURA ESTATAL,"CIUDAD DEL CONOCIMIENTO Y LA CULTURA ,   EN EL ESTADO DE HIDALGO","$200,000,000.00",0
84,U128,PROYECTOS DE DESARROLLO REGIONAL,6,COLIMA,8,MINATITLÁN,"CONSOLIDACIÓN DE TALUDES EN CARRETERA VILLA DE ÁLVAREZ- MINATITLÁN EN LOS KM.43 ,   EN COLIMA","$15,000,000.00",0
85,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,76,SAHUAYO,"CONST. PARQ. LUDICO  "" FLAMINGOS ""   ,    EN EL MUNICIPIO DE SAHUAYO ,   EN EL ESTADO DE MICHOACÁN","$300,000.00",0
86,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,59,SANTA CRUZ QUILEHTLA,"CONSTRUCCIÓN DE AULAS Y CERCADO EN FACHADA EN JARDÍN DE NIÑOS ROMAN SALDAÑA OROPEZA ,   EN EL MUNICIPIO DE SANTA CRUZ QUILEHTLA ,   EN EL ESTADO DE TLAXCALA","$1,050,960.00",0
87,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,8,AQUILA,"CONSTRUCCIÓN DE TECHUMBRE EN LA PLAZA PRINCIPAL DE LA LOCALIDAD DE SANTA MARIA DE OSTULA EN MUNICIPIO DE AQUILA ,   MICHOACÁN","$1,120,359.00",0
88,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,67,PENJAMILLO,"CONSTRUCCIÓN DEL CENTRO PERIMETRAL EN EL CECYTE 01 ,   EN EL MUNICIPIO DE PENJAMILLO ,   EN EL ESTADO DE MICHOACÁN","$1,502,698.00",0
89,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE NAUCALPAN DE JUÁREZ ,   EN EL ESTADO DE MÉXICO","$2,200,000.00",0
90,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,92,TEOTIHUACÁN,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TEOTIHUACÁN ,   EN EL ESTADO DE MÉXICO","$1,100,000.00",0
91,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,104,TLALNEPANTLA DE BAZ,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TLALNEPANTLA DE BAZ ,   EN EL ESTADO DE MÉXICO","$4,000,000.00",0
92,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,109,TULTITLÁN,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TULTITLÁN ,   EN EL ESTADO DE MÉXICO","$2,300,000.00",0
93,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,121,CUAUTITLÁN IZCALLI,"CONSTRUCCIÓN AULA ,   EN EL MUNICIPIO DE CUAUTITLÁN IZCALLI ,   EN EL ESTADO DE MÉXICO","$250,000.00",0
94,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,30,CAMERINO Z. MENDOZA,CONSTRUCCIÓN CANCHA DEPORTIVA EN EL MUNICIPIO DE CAMERINO Z. MENDOZA EN EL ESTADO DE VERACRUZ,"$700,000.00",0
95,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,23,CHAVINDA,"CONSTRUCCIÓN CANCHA MULTIUSOS ,   EN EL MUNICIPIO DE CHAVINDA ,   EN EL ESTADO DE MICHOACÁN","$500,000.00",0
