key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,ciclo,classification,ejercido
'08125140004,Construcción y Equipamiento del Nuevo Instituto de Diagnóstico y Referencia Epidemiológicos (InDRE).-2008-2015,12,Dirección General de Desarrollo de la Infraestructura Física,9,19,-99,100,1518676724,2015,,
'0812NBG0001,"Construcción y Equipamiento de la Unidad de Hemato-Oncología y de Investigación del Hospital Infantil de México Federico Gómez, 2008-2015.",12,Hospital Infantil de México Federico Gómez,9,19,-99,100,382656604,2015,,
'0909J2U0007,DESARROLLO COMERCIAL TURÍSTICO,9,"Administración Portuaria Integral de Progreso, S.A. de C.V.",31,21,-90,100,25907499,2015,,
'1008I000002,"Dragado de rehabilitación, supervisión de obra y Evaluación Biológico Pesquera en la Bahía de Lobos, Municipio de San Ignacio Rio Muerto",8,Comisión Nacional de Acuacultura y Pesca,26,0,0,100,165213751,2016,,
'1008I000003,"Dragado de rehabilitación, supervisión de obra  y Evaluación Biológico Pesquera en la Bahía de Tobari, Municipio de Benito Juárez",8,Comisión Nacional de Acuacultura y Pesca,26,0,0,100,169940128,2016,,
'10096250008,Antiguo General Cepeda-Palma Gorda.,9,Centro SCT Coahuila,5,25,-101,100,131460229,2017,,0
'10096350023,Camino a Lumbreras,9,Centro SCT México,15,20,-99,100,61418778,2017,,0
'10096350027,Puente Grande-Las Animas-Coyotepec,9,Centro SCT México,15,20,-99,100,16672839,2017,,0
'10096350029,Jiquipilco el Viejo.,9,Centro SCT México,15,20,-100,100,36706878,2014,,
'1010K2N0003,Reparacion general de diques y compuertas en áreas de concentración.,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,45003136,2015,,
'1010K2N0015,Optimizacion del sistema de vasos de concentracion,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,23682767,2014,,
'1011MAR0002,Programa de inversión para la ampliación y remodelación de la librería Octavio Paz y atención de trabajos de obra pública del FCE.,11,Fondo de Cultura Económica,9,0,0,100,63510322,2014,,
'11056130004,Programa de adquisición de mobiliario y equipo en el exterior 2012.,5,Dirección General de Bienes Inmuebles y Recursos Materiales,33,0,0,100,39181420,2014,,
'11095100010,Proyecto de Reordenamiento y Modernizacion del Puerto de Pichilingue,9,Dirección General de Puertos,3,24,-110,100,213354992,2015,,
'11095110005,Programa de Automatización y Monitoreo de Faros 2013,9,Dirección General de Marina Mercante,35,0,0,100,74344662,2014,,
'11096210010,"Tercer Anillo, Primera Etapa.",9,Centro SCT Aguascalientes,1,22,-102,100,713853239,2016,,
'11096350008,Pueblo Nuevo-El Rodeo,9,Centro SCT México,15,20,-100,100,10732289,2017,,0
'11096500015,Lim. Edos. (Oax/Ver) - La Unión Progreso Tatahuicapa.,9,Centro SCT Veracruz,30,18,-96,5,113375851,2017,,0
'1109J2R0003,Ampliación del Muelle Pesquero del Sauzal.,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,32,-117,100,20567108,2014,,
'1109J2R0009,Adecuacion y modernizacion de accesos 1 y 2 del puerto Ensenada,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,32,-117,100,111151493,2015,,
'1109J2Z0005,Nivelación de áreas de patios de depósito de mercancías,9,"Administración Portuaria Integral de Guaymas, S.A. de C.V.",26,28,-111,100,111639240,2017,,3493981
'1109J2Z0009,Rehabilitación de muelles,9,"Administración Portuaria Integral de Guaymas, S.A. de C.V.",26,28,-111,100,86830519,2017,,10488473
'1109J3E0009,Habilitación de un Recinto Fiscalizado Estratégico.,9,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",30,19,-96,100,85964752,2015,,
'1109JZL0003,PROGRAMA DE MANTENIMIENTO DE LA INFRAESTRUCTURA OPERACIONAL DE LAS ESTACIONES DE COMBUSTIBLES 2011-2015,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,124338117,2015,,
'1110K2N0007,Estudios de preinversión para la construccion de taller Dart,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,1667495,2014,,
'1111L4J0012,"Infraestructura mayor a las redes de drenaje, alcantarillado y riego de la Unidad Zacatenco",11,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,9,20,-99,100,20817088,2015,,
'1112NAW0001,Programa de inversión para adquisición de equipo médico. 2014,12,Hospital Juárez de México,9,0,0,100,4126163,2014,,
'1112NCG0006,Reforzamiento Estructural del edificio de Hospitalización del INCMNSZ 2013-2015,12,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,9,0,0,100,98148656,2015,,
'1112NCK0003,Construcción del Edificio Nuevo de Residencia Médica.- 2012-2014,12,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,9,0,0,100,16869930,2014,,
'11132160004,Adquisición de helicópteros versión Transporte de personal y carga.,13,Dirección General de Servicios,35,0,0,100,1139787029,2017,,181034197
'11132160011,Construcción de un centro oncológico anexo al Hospital General Naval de Alta Especialidad en el D.F.,13,Dirección General de Servicios,9,19,-99,100,470375619,2017,,39810389
'1116B000238,"Adquisición y suministro de equipo e instrumental, convencional y automático; climatológico, hidrométrico, y de radiocomunicación para el nivel nacional. (Bienes de Tecnología en Informática y Comunicaciones)",16,Comisión Nacional del Agua,35,0,0,100,2979129,2015,,
'1118T4O0014,Mantenimiento de la capacidad de producción de la planta Clorados III del Complejo Petroquímico Pajaritos,18,,30,0,0,100,967064365,2015,,
'113891Q0006,"Ampliación y Modernización de la infraestructura Científica y Tecnológica del Instituto de Ecología, A.C. (Campus III)",38,"Instituto de Ecología, A.C.",30,20,-97,100,529867225,2014,,
'11389ZU0003,Creación de un Centro de Manufactura Avanzada y Logística en el Estado de México.,38,Centro de Ingeniería y Desarrollo Industrial,15,19,-99,100,182346229,2014,,
'12056140001,"Programa de adquisición de bienes informáticos, equipos y aparatos de comunicaciones y telecomunicaciones, y periféricos en las representaciones de México en el exterior.",5,Dirección General de Tecnologías de Información e Innovación,33,0,0,100,37058204,2014,,
'12056140002,Programa de adquisición de infraestructura de cómputo y telecomunicaciones para la implementación y mejora a la operación del Sistema Integral de Administración Consular 2012.,5,Dirección General de Tecnologías de Información e Innovación,33,0,0,100,9014275,2015,,
'1206AYB0004,Equipamiento del Almacén,6,,35,0,0,100,5773358,2014,,
'1206HBW0003,Actualización y Mejoramiento de la Infraestructura de Seguridad,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",16,0,0,100,1354430,2014,,
'1208I000005,APOYO TÉCNICO PARA LA REVISIÓN DE ESTUDIOS Y PROYECTOS,8,Comisión Nacional de Acuacultura y Pesca,25,0,0,100,14625301,2016,,
'12095100004,"NUEVA TERMINAL MARITIMA DE ISLA MUJERES, QUINTANA ROO.",9,Dirección General de Puertos,23,21,-87,100,34455564,2014,,
'12095100005,"Construcción del malecón náutico turístico, muelle para la capitanía de puerto, muelle para embarcaciones turísticas y rampa de botado en Altata, Sinaloa.",9,Dirección General de Puertos,25,25,-108,100,81876507,2014,,
'12095100009,"CONSTRUCCIÓN DE MUELLE EN CHUBURNÁ, YUC.",9,Dirección General de Puertos,31,21,-90,100,29240869,2014,,
'12095100010,"Dragado en Puertos no Concesionados, Dragado de Mantenimiento y Obras Complementarias en la Región Pacifico Norte 2013",9,Dirección General de Puertos,35,0,0,100,165291231,2014,,
'12095100011,"Dragado en Puertos no Concesionados, Dragado de Mantenimiento y Obras Complementarias en la Región Golfo Sureste y Caribe 2013",9,Dirección General de Puertos,31,0,0,100,23555299,2014,,
'12095100012,"Dragado en Puertos no Concesionados, Dragado de Mantenimiento y Obras Complementarias en la Región Golfo Norte 2013",9,Dirección General de Puertos,35,0,0,100,117776497,2014,,
'12095100014,OTROS SERVICIOS RELACIONADOS CON LA OBRA PÚBLICA 2013,9,Dirección General de Puertos,9,0,0,100,23093432,2014,,
'12095100016,Servicios Relacionados con Dragado de Mantenimiento y Obras Complementarias 2013,9,Dirección General de Puertos,9,0,0,100,12701389,2014,,
'12095100017,"Rehabilitación de playas en Puerto Chiapas, Chis",9,Dirección General de Puertos,7,15,-92,100,128328824,2015,,
'12096350002,La Concepción Llano de los Negros,9,Centro SCT México,15,19,-99,100,19955488,2017,,0
'12096500019,Coahuila - Río Xochiapa,9,Centro SCT Veracruz,30,18,-95,6,124043599,2017,,0
'1209J2U0001,Construcción del Viaducto Alterno,9,"Administración Portuaria Integral de Progreso, S.A. de C.V.",31,21,-90,100,1088695351,2017,,187320224
'1209J3A0001,Ampliación de canales y dársenas en el puerto de Lázaro Cárdenas,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,1112111774,2015,,
'1209J3D0002,Dragado de Mantenimiento,9,"Administración Portuaria Integral de Tampico, S.A. de C.V.",28,0,0,100,226060962,2015,,
'1209J3L0001,"Adquisición de equipos de comunicación satelital  para la actualización del Sistema de Control Satelital de Trenes, y su interoperabilidad con el Sistema Integral de Administración de Recursos Gubernamentales.",9,"Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",35,0,0,100,50745755,2015,,
'1209JZL0015,PROGRAMA DE ADQUISICION DE VEHICULOS PARA LA SEGURIDAD OPERACIONAL 2013,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,48654891,2014,,
'1209JZL0027,Ampliación de sala de llegada internacional para separación de flujo de pasajeros en Uruapan,9,Aeropuertos y Servicios Auxiliares,16,0,0,100,31261461,2014,,
'1209KDN0008,Instalaciones Y Obras De Construcción Especializada,9,"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V.",9,0,0,100,143220739,2014,,
'1209KDN0014,"Rehabilitación, Complementación Y Modernización de los Elementos de Apoyo en Zona Operacional de Aeronaves en Aeropuerto Internacional de la Ciudad De México.",9,"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V.",9,0,0,100,171468725,2014,,
'1210K2N0001,Planta Industrial para Silvinita,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,3710992,2014,,
'1210K2N0002,Nueva Planta Lavadora de Sal Industrial,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,8986876,2014,,
'1210K2N0005,Reposición del Transportador  CI-A,10,"Exportadora de Sal, S.A. de C.V.",2,0,0,100,56597521,2015,,
'1210K2N0008,Reposición de  Transportadores de Bandas 2013,10,"Exportadora de Sal, S.A. de C.V.",35,0,0,100,38348682,2014,,
'1210K2N0009,Obras de apoyo a la zona industrial 2013,10,"Exportadora de Sal, S.A. de C.V.",35,0,0,100,11939302,2014,,
'12116160002,"Programa de Adquisición de Bienes Informáticos, Equipos Audiovisuales y Mobiliario para 36 Planteles Educativos",11,Dirección General del Bachillerato,35,0,0,100,11677222,2014,,
'1211L5X0005,Programa de Adquisiciones de Equipamiento de Talleres 2013,11,Colegio Nacional de Educación Profesional Técnica,35,0,0,100,75664674,2014,,
'12125130001,Adquisición de Enfriadores/Calentadores de Agua para las Diferentes Áreas que conforman la Dirección General de Recursos Humanos. 2014,12,Dirección General de Recursos Humanos,9,0,0,100,119840,2014,,
'1212NCD0001,Construcción del Laboratorio de inflamación e Inmunoregulación del Departamento de Investigación en Tabaquismo y EPOC y del Cuarto de Lavado de Inhaloterapia 2012-2014,12,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,9,19,-99,100,1937839,2014,,
'1212NCD0003,Proyecto de Ampliación del Departamento de Investigación en Tabaquismo y EPOC 2012-2015,12,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,9,19,-99,100,31444971,2015,,
'1212NDF0001,"Proyecto de Inversión para la Construcción del Puente de Intercomunicación entre el Cuerpo VIII y el CENIAQ, del Instituto Nacional de Rehabilitación 2014-2015",12,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,9,19,-99,100,5914957,2015,,
'1218T0I0003,"Programa de Adquisiciones de mobiliario y equipo para Col. Cd. Madero, Col. Tula y Col. Cadereyta.",18,,35,0,0,100,2343039,2014,,
'1218T4O0010,Adquisición de Vehículos para Actividades Productivas en C.P.Pajaritos,18,,30,0,0,100,39832033,2015,,
'13065000001,Programa de Adquisición de la PFF.,6,Procuraduría Fiscal de la Federación,9,0,0,100,527953,2014,,
'13067100001,Programa de adquisición de mobiliario y equipo para diversas áreas de la Dirección General de Recursos Financieros.,6,Dirección General de Recursos Financieros,9,0,0,100,378967,2016,,
'13067120001,Servicios relacionados con obra pública para los inmuebles de la SHCP 2014.,6,"Dirección General de Recursos Materiales, Obra Públicay Servicios Generales",9,0,0,100,5991982,2014,,
'1306E000004,Programa Equipamiento de Unidades Administrativas,6,Servicio de Administración Tributaria,35,0,0,100,2372178,2014,,
'1306HBW0001,Revestimiento de vialidad interna en el CDT Tezoyuca,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",17,0,0,100,1123906,2014,,
'1306HBW0002,Infraestructura Institucional del Centro de Desarrollo Tecnológico Tantakin para el área de ovinos,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",31,0,0,100,1439015,2014,,
'1306HBW0003,Adquisición de Mobiliario y Equipo,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",34,0,0,100,15632607,2014,,
'13095100001,"CONSTRUCCIÓN DE MUELLE DE PESCA EN EL CUYO, YUC.",9,Dirección General de Puertos,31,22,-88,100,28173985,2014,,
'13095100004,Estudios de Preinversión,9,Dirección General de Puertos,9,0,0,100,15751177,2015,,
'13095100005,Dragado de Mantenimiento y Obras Complementarias en la Región Pacifico Sur,9,Dirección General de Puertos,6,0,0,100,77895760,2015,,
'13095100006,Dragado de Mantenimiento y Obras Complementarias en la Región Pacifico Norte,9,Dirección General de Puertos,25,0,0,100,40745474,2015,,
'13095100007,Dragado de Mantenimiento y Obras Complementarias en la Región Golfo Norte,9,Dirección General de Puertos,28,0,0,100,25765522,2015,,
'13095100008,Dragado de Mantenimiento y Obras Complementarias en la Región Golfo Suereste y Caribe,9,Dirección General de Puertos,35,0,0,100,49733445,2015,,
'13095100009,Conservación de la Infraestructura marítima portuaria 2014,9,Dirección General de Puertos,35,0,0,100,19989280,2015,,
'13095100010,"Construcción de embarcadero, rampa de botado y área de operaciones en la comunidad de Bahamitas, Carmen, Campeche",9,Dirección General de Puertos,4,19,-92,100,4041352,2014,,
'13095100011,"Rehabilitación de muelle, construcción de muelle flotante, rampa de botado y patio de manobras en la comunidad de Tabasquillo, Centla, Tab.",9,Dirección General de Puertos,27,18,-93,100,5196023,2014,,
'13096350004,Acceso a la Comunidad de San Miguel Solís.,9,Centro SCT México,15,20,-100,100,5395022,2017,,0
'13096350011,Vialidades del Municipio de Toluca.,9,Centro SCT México,15,19,-100,100,90055323,2017,,0
'13096350074,Bombaro - Pastores - San Pedro Potla.,9,Centro SCT México,15,20,-100,100,4320809,2017,,0
'13096480002,Modernización de la carretera Reynosa  Río Bravo (Km. 74+117 al Km. 83+117),9,Centro SCT Tamaulipas,28,26,-98,100,541186579,2017,,0
'1309J2R0004,Programa de adqusiciones 2014,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,0,0,100,13898442,2014,,
'1309J2W0009,Construcción de un Centro de Atención Logística al Transporte (CALT),9,"Administración Portuaria Integral de Topolobampo, S.A. de C.V.",25,26,-109,100,20938172,2015,,
'1309J2X0001,Dragado de Mantenimiento 2014,9,"Administración Portuaria Integral de Tuxpan, S.A. de C.V.",30,0,0,100,75053650,2014,,
'1309J2Y0008,Adquisición de RACKS para Bodega Archivo 2014,9,"Administración Portuaria Integral de Altamira, S.A. de C.V.",28,0,0,100,1062298,2014,,
'1309J3A0001,Programa de adquisiciones 2014,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,0,0,100,11347811,2014,,
'1309J3B0003,Dragado de Mantenimiento 2013,9,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",6,0,0,100,46929315,2014,,
'1309J3D0002,BODEGA Número 13,9,"Administración Portuaria Integral de Tampico, S.A. de C.V.",28,22,-98,100,22267060,2015,,
'1309J3E0009,Programa de Mantenimiento a Infraestructura Portuaria 2014,9,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",30,0,0,100,181658186,2015,,
'1309J3L0001,Programa de mantenimiento de las líneas FA; FD; FL; FN y FX de la ruta del Mayab y K de la ruta de Chiapas.,9,"Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",35,0,0,100,296514063,2014,,
'1309J9E0001,Programa de Adquisiciones de Equipo contra incendio,9,Servicio Postal Mexicano,9,0,0,100,14381629,2017,,0
'1309JZL0001,Programas Maestros de Desarrollo 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,5089791,2014,,
'1309JZL0002,Programa de adquisición de equipos de seguridad 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,18644712,2014,,
'1309JZL0003,Estudios de Pre inversión para  Terminar y poner en marcha el aeropuerto de carga de Nuevo Laredo,9,Aeropuertos y Servicios Auxiliares,28,0,0,100,6697095,2014,,
'1309JZL0004,"Estudios de Pre inversión para Construir un Aeropuerto en la Región del Istmo (Ixtepec), Oaxaca, Rehabilitar y Modernizar el Aeropuerto de Atlangatepec, Tlaxcala., Aviación General del Aeropuerto de Hidalgo y  Modernizar el Aeropuerto  el Lencero en Jalapa .",9,Aeropuertos y Servicios Auxiliares,35,0,0,100,20827965,2014,,
'1309JZL0005,Programa de desarrollo tecnológico de mobiliario y equipo de uso aeroportuario 2014,9,Aeropuertos y Servicios Auxiliares,9,0,0,100,2678837,2014,,
'1309JZL0006,Programa de sustitución de equipo de la red aeroportuaria 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,48235827,2014,,
'1309JZL0007,Programa de implementación de sistema de medición de nivel y temperatura 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,19756430,2014,,
'1309JZL0008,Programa de adquisición de parque vehicular 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,55117092,2014,,
'1309JZL0009,Modernizar el Aeropuerto de Chetumal,9,Aeropuertos y Servicios Auxiliares,23,1,1,100,11786887,2014,,
'1309JZL0011,Programa de adquisiciones para la atención de emergencias en las estaciones de combustibles 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,15600213,2014,,
'1309JZL0012,Programa de adquisición de computadores de flujo para sistemas SCADA de estaciones de combustibles 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,24832828,2014,,
'1309JZL0013,Programa de mantenimiento y rehabilitación de la infraestructura sustantiva para suministro de combustible 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,171646543,2014,,
'1309JZL0014,"Programa para la rehabilitación de la pista, rodajes y plataformas de aviación comercial y general en el aeropuerto de Colima, Colima",9,Aeropuertos y Servicios Auxiliares,6,0,0,100,102767592,2014,,
'1309JZL0015,Construcción de tanque de almacenamiento en la estación de Ciudad del Carmen,9,Aeropuertos y Servicios Auxiliares,4,19,-92,100,23091584,2014,,
'1309JZL0016,Estudios de preinversión para la construcción de la nueva estación de combustibles en el aeropuerto de San José del Cabo,9,Aeropuertos y Servicios Auxiliares,3,0,0,100,16073028,2014,,
'1309JZL0017,Estudios de preinversión de la red aeroportuaria 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,17061518,2014,,
'1309JZL0021,Programa de accesibilidad 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,2743130,2014,,
'1309JZL0022,Programa de mantenimiento y rehabilitación de tanques de almacenamiento 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,8840165,2014,,
'1309JZL0023,Programa de estudios de preinversión para estaciones de combustibles 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,31744230,2014,,
'1309JZL0024,Programa de adquisiciones para sistemas de carga y descarga de combustible de aviación 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100,25448962,2014,,
'1310K2N0002,Adquisición de maquinaria y equipos especializados 2014,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,66512372,2014,,
'1310K2N0005,"Adquisición de maquinas, herramientas, mobiliario y equipo diversos 2014",10,"Exportadora de Sal, S.A. de C.V.",35,0,0,100,44389608,2014,,
'1310K2N0007,Reparaciones mayores 2014,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,34344551,2014,,
'1310LAU0001,"Generación de infraestructura de información geológico-minera y geoquímica escala 1:50,000.",10,Servicio Geológico Mexicano,35,0,0,100,78149530,2014,,
'1310LAU0002,Generación de estudios geológico - ambientales,10,Servicio Geológico Mexicano,35,0,0,100,17437790,2014,,
'1310LAU0003,Generación de infraestructura de información geohidrológica del territorio nacional,10,Servicio Geológico Mexicano,35,0,0,100,11380722,2014,,
'1310LAU0004,Investigación Aplicada a Ciencias de la Tierra,10,Servicio Geológico Mexicano,35,0,0,100,15486259,2014,,
'1310LAU0005,Adquisición de bienes muebles para la exploración de minerales energéticos en el SGM,10,Servicio Geológico Mexicano,34,0,0,100,4240871,2014,,
'1310LAU0006,Generación de infraestructura de información geofísica del territorio nacional,10,Servicio Geológico Mexicano,35,0,0,100,55199984,2014,,
'1310LAU0007,Exploración de Minerales No Metálicos,10,Servicio Geológico Mexicano,35,0,0,100,5717542,2014,,
'1310LAU0008,Exploración por Carbón Mineral y Gas Asociado a Yacimientos de Carbón Mineral,10,Servicio Geológico Mexicano,35,0,0,100,5531864,2014,,
'1310LAU0009,Proporcionar el servicio público de información geológico minera básica del territorio nacional y la asesoría para su aprovechamiento: Banco de datos digital,10,Servicio Geológico Mexicano,34,0,0,100,13666733,2014,,
'1310LAU0010,Exploración y evaluación de minerales radioactivos,10,Servicio Geológico Mexicano,35,0,0,100,37587479,2014,,
'1311A2M0001,Reposición de equipo de laboratorio para las actividades de Investigación.,11,Universidad Autónoma Metropolitana,9,0,0,100,58182148,2014,,
'1311A2M0002,Reposición de equipo de laboratorio para las actividades de Docencia en Licenciatura y Posgrado.,11,Universidad Autónoma Metropolitana,9,0,0,100,56881757,2014,,
'1311A3Q0001,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Educación Superior en Facultades,11,Universidad Nacional Autónoma de México,35,0,0,100,94890757,2014,,
'1311A3Q0002,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública destinado a Facultades y Áreas de Apoyo a la Docencia (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,105581087,2014,,
'1311A3Q0003,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para el Nivel Posgrado,11,Universidad Nacional Autónoma de México,9,0,0,100,13161293,2014,,
'1311A3Q0004,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Educación Media Superior,11,Universidad Nacional Autónoma de México,35,0,0,100,138770250,2014,,
'1311A3Q0005,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Investigación Humanística,11,Universidad Nacional Autónoma de México,35,0,0,100,23522201,2014,,
'1311A3Q0006,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para la Función de Difusión Cultural (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,34836651,2014,,
'1311A3Q0007,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Educación Media Superior (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,92463907,2014,,
'1311A3Q0008,Programa de Adquisiciones de Bienes no Asociados  para Escuelas y Unidades Multidisciplinarias,11,Universidad Nacional Autónoma de México,35,0,0,100,127829885,2014,,
'1311A3Q0009,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para la Investigación Científica y Tecnológica (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,58128927,2014,,
'1311A3Q0010,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para la Investigación Humanística (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,34817045,2014,,
'1311A3Q0011,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Escuelas y Unidades Multidisciplinarias (Equipo de Cómputo).,11,Universidad Nacional Autónoma de México,35,0,0,100,52753888,2014,,
'1311A3Q0012,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para el Nivel Posgrado (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100,29648380,2014,,
'1311A3Q0013,Programa de Mantenimiento para las Escuelas y Colegios de Educación Media Superior,11,Universidad Nacional Autónoma de México,35,0,0,100,170549606,2014,,
'1311A3Q0014,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Investigación Científica y Tecnológica,11,Universidad Nacional Autónoma de México,35,0,0,100,173056816,2014,,
'1311A3Q0015,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Función de Difusión Cultural,11,Universidad Nacional Autónoma de México,35,0,0,100,55157923,2014,,
'1311A3Q0016,Programa de Mantenimiento de la Infraestructura y de Servicios en Ciudad Universitaria,11,Universidad Nacional Autónoma de México,9,0,0,100,167727603,2014,,
'1311A3Q0017,Programa de Mantenimiento a Institutos y Centros de Investigación,11,Universidad Nacional Autónoma de México,35,0,0,100,135712634,2014,,
'1311A3Q0018,Programa de Mantenimiento para las Escuelas y Unidades Multidisciplinarias,11,Universidad Nacional Autónoma de México,35,0,0,100,168339040,2014,,
'1311A3Q0019,Programa de Mantenimiento a Recintos  y Centros de Difusión Cultural,11,Universidad Nacional Autónoma de México,35,0,0,100,171496898,2014,,
'1311I000001,Programa Anual de Inversión del Instituto Nacional del Derecho de Autor.,11,,9,0,0,100,335547,2015,,
